,Value,Unit
Diversion,46.983412615327914,%
GWP,444.5742457743021,kg CO2 eq/Mg
Operation Cost,54.6260524282546,$/Mg
Capital cost,3.652156464814017,$/Mg
Total cost,58.278208893068616,$/Mg
CED,-3602.609227410928,MJ eq/Mg
Acidification,-2.5144618639364293,kg SO2 eq/Mg
Eutrophication,-0.15356610999936468,kg N eq/Mg
Photochemical smog,-8.865853214453372,kg O3 eq/Mg
Ecotoxicity,-4717.308803054147,CTU/Mg
Human toxicity,-0.00016306554723700115,CTU/Mg
SF,306600,Mg/yr
MF,102200,Mg/yr
COM,52595,Mg/yr
LF,244616,Mg/yr
WTE,0,Mg/yr
RDF,0,Mg/yr
GC,0,Mg/yr
Composting,101413,Mg/yr
AD,0,Mg/yr
HC,0,Mg/yr
AnF,19969,Mg/yr
SS_MRF,115005,Mg/yr
Reprocessing,98915,Mg/yr
