,Process,Category,Param Name,Descrption,Amount,Unit,Uncertainty Type,loc,scale,Min,Max
0,LF,Landfill operation parameteres,annWaste,Annual waste acceptance rate,233091,Mg/year,Uniform,,,100000,400000
1,LF,Landfill operation parameteres,optime,Landfill Operation time,80,years,LogNormal,4.09,0.6,10,200
2,LF,Landfill Gas Parameters,actk,Landfill decay rate,0.04,1/yr,Triangular,0.04,,0.02,0.17
3,LF,Landfill Gas Parameters,initColEff,Initial gas collection efficiency,50,%,Normal,50,5,,
4,LF,Landfill Gas Parameters,intColEff,Gas collection efficiency under intermediate cover,75,%,Normal,75,5,,
5,LF,Landfill Gas Parameters,incColEff,Increased gas collection efficiency,82.5,%,Normal,82.5,3,,
6,LF,Landfill Gas Parameters,finColEff,Gas collection efficiency under final cover,90,%,Normal,90,3,,99
7,LF,Energy_Rec,convEff,combustion eff,0.365,None,Normal,0.365,0.03,,
8,LF,Operational_Cost,Yard_Trimmings_Leaves,Operation cost of Yard_Trimmings_Leaves,15.31,$/Mg,LogNormal,2.729,0.2,,
9,LF,Operational_Cost,Yard_Trimmings_Grass,Operation cost of Yard_Trimmings_Grass,14.84,$/Mg,LogNormal,2.697,0.2,,
10,LF,Operational_Cost,Yard_Trimmings_Branches,Operation cost of Yard_Trimmings_Branches,17.13,$/Mg,LogNormal,2.841,0.2,,
11,LF,Operational_Cost,Food_Waste_Vegetable,Operation cost of Food_Waste_Vegetable,19.21,$/Mg,LogNormal,2.955,0.2,,
12,LF,Operational_Cost,Food_Waste_Non_Vegetable,Operation cost of Food_Waste_Non_Vegetable,25.65,$/Mg,LogNormal,3.245,0.2,,
13,LF,Operational_Cost,Wood,Operation cost of Wood,12.84,$/Mg,LogNormal,2.553,0.2,,
14,LF,Operational_Cost,Wood_Other,Operation cost of Wood_Other,12.76,$/Mg,LogNormal,2.546,0.2,,
15,LF,Operational_Cost,Textiles,Operation cost of Textiles,18.86,$/Mg,LogNormal,2.937,0.2,,
16,LF,Operational_Cost,Rubber_Leather,Operation cost of Rubber_Leather,11.77,$/Mg,LogNormal,2.466,0.2,,
17,LF,Operational_Cost,Newsprint,Operation cost of Newsprint,17.44,$/Mg,LogNormal,2.859,0.2,,
18,LF,Operational_Cost,Corr_Cardboard,Operation cost of Corr_Cardboard,26.05,$/Mg,LogNormal,3.260,0.2,,
19,LF,Operational_Cost,Office_Paper,Operation cost of Office_Paper,32.85,$/Mg,LogNormal,3.492,0.2,,
20,LF,Operational_Cost,Magazines,Operation cost of Magazines,18.71,$/Mg,LogNormal,2.929,0.2,,
21,LF,Operational_Cost,Third_Class_Mail,Operation cost of Third_Class_Mail,18.4,$/Mg,LogNormal,2.912,0.2,,
22,LF,Operational_Cost,Folding_Containers,Operation cost of Folding_Containers,22.61,$/Mg,LogNormal,3.118,0.2,,
23,LF,Operational_Cost,Paper_Bags,Operation cost of Paper_Bags,24.85,$/Mg,LogNormal,3.213,0.2,,
24,LF,Operational_Cost,Mixed_Paper,Operation cost of Mixed_Paper,22.64,$/Mg,LogNormal,3.120,0.2,,
25,LF,Operational_Cost,Paper_Non_recyclable,Operation cost of Paper_Non_recyclable,21.53,$/Mg,LogNormal,3.069,0.2,,
26,LF,Operational_Cost,HDPE_Translucent_Containers,Operation cost of HDPE_Translucent_Containers,11.77,$/Mg,LogNormal,2.466,0.2,,
27,LF,Operational_Cost,HDPE_Pigmented_Containers,Operation cost of HDPE_Pigmented_Containers,11.77,$/Mg,LogNormal,2.466,0.2,,
28,LF,Operational_Cost,PET_Containers,Operation cost of PET_Containers,11.77,$/Mg,LogNormal,2.466,0.2,,
29,LF,Operational_Cost,Plastic_Other_1_Polypropylene,Operation cost of Plastic_Other_1_Polypropylene,11.77,$/Mg,LogNormal,2.466,0.2,,
30,LF,Operational_Cost,Plastic_Other_2,Operation cost of Plastic_Other_2,11.77,$/Mg,LogNormal,2.466,0.2,,
31,LF,Operational_Cost,Mixed_Plastic,Operation cost of Mixed_Plastic,11.77,$/Mg,LogNormal,2.466,0.2,,
32,LF,Operational_Cost,Plastic_Film,Operation cost of Plastic_Film,11.77,$/Mg,LogNormal,2.466,0.2,,
33,LF,Operational_Cost,Plastic_Non_Recyclable,Operation cost of Plastic_Non_Recyclable,11.77,$/Mg,LogNormal,2.466,0.2,,
34,LF,Operational_Cost,Ferrous_Cans,Operation cost of Ferrous_Cans,11.77,$/Mg,LogNormal,2.466,0.2,,
35,LF,Operational_Cost,Ferrous_Metal_Other,Operation cost of Ferrous_Metal_Other,11.77,$/Mg,LogNormal,2.466,0.2,,
36,LF,Operational_Cost,Aluminum_Cans,Operation cost of Aluminum_Cans,11.77,$/Mg,LogNormal,2.466,0.2,,
37,LF,Operational_Cost,Aluminum_Foil,Operation cost of Aluminum_Foil,11.77,$/Mg,LogNormal,2.466,0.2,,
38,LF,Operational_Cost,Aluminum_Other,Operation cost of Aluminum_Other,11.77,$/Mg,LogNormal,2.466,0.2,,
39,LF,Operational_Cost,Ferrous_Non_recyclable,Operation cost of Ferrous_Non_recyclable,11.77,$/Mg,LogNormal,2.466,0.2,,
40,LF,Operational_Cost,Al_Non_recyclable,Operation cost of Al_Non_recyclable,11.77,$/Mg,LogNormal,2.466,0.2,,
41,LF,Operational_Cost,Glass_Brown,Operation cost of Glass_Brown,11.77,$/Mg,LogNormal,2.466,0.2,,
42,LF,Operational_Cost,Glass_Green,Operation cost of Glass_Green,11.77,$/Mg,LogNormal,2.466,0.2,,
43,LF,Operational_Cost,Glass_Clear,Operation cost of Glass_Clear,11.77,$/Mg,LogNormal,2.466,0.2,,
