,MultiFamily-CA,Education,Hotels,Restaurants,Retail Trade,HFW-CI,SingleFamily,MultiFamily
Yard_Trimmings_Leaves,0.01668165838430072,0.021702401033218247,0.02130142045831889,0.013589911790303347,0.003922544211627867,0.011332793095076291,0.03731236115549282,0.011600916799624208
Yard_Trimmings_Grass,0.01668165838430072,0.021702401033218247,0.02130142045831889,0.013589911790303347,0.003922544211627867,0.011332793095076291,0.09328090288873205,0.029002291999060518
Yard_Trimmings_Branches,0.002445571456480152,0.012999806202812263,0.026311374137650306,0.0013445936295381929,5.4835497942138456e-05,0.0034048397234538045,0.05596854173323923,0.01740137519943631
Food_Waste_Vegetable,0.16472840238719025,0.2089038432583467,0.20499834662585198,0.31638902501582494,0.21240760013705717,0.258478702435676,0.11164599053718088,0.11561097027960228
Food_Waste_Non_Vegetable,0.08236420119359512,0.10445192162917336,0.10249917331292599,0.15819451250791247,0.10620380006852859,0.129239351217838,0.05582299526859044,0.05780548513980114
Wood,0.013771373974387033,0.006934046912158232,0.005925288503071812,0.001813211190567113,0.00016014861587411582,0.0020347874744642246,0.005402435463885294,0.003994511234960564
Wood_Other,0.013771373974387033,0.006934046912158232,0.005925288503071812,0.001813211190567113,0.00016014861587411582,0.0020347874744642246,0.005402435463885294,0.003994511234960564
Textiles,0.07316277058165849,0.01669040189151106,0.023911299272585933,0.006090597005507714,0.0024400079717687736,0.006835298837142515,0.05421593036452262,0.05757186938497832
Rubber_Leather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newsprint,0.075214155722879,0.013298611966167639,0.028171726578163848,0.022417841466841556,0.004511994353143949,0.014689735228893561,0.036728898125393206,0.05990899109232672
Corr_Cardboard,0.06527879920356155,0.04286099993401842,0.08275481167235209,0.07999068956483409,0.5427413730631804,0.249542780933271,0.09002526500670131,0.10060036260096192
Office_Paper,0.01843142456300667,0.1008734955665312,0.022165165379966892,0.009155930681890403,0.006148729438302736,0.020722747390209066,0.0,0.0
Magazines,0.010432429599248222,0.01659837415389871,0.009443303747774233,0.002204918620658411,0.000995073898477455,0.003949900875781779,0.0,0.0
Third_Class_Mail,0.0008924869708962047,0.0004938277486789153,0.0006686622540659846,0.0,3.367498681642567e-05,0.00010500906258150505,0.0,0.0
Folding_Containers,0.0,0.0,0.0,0.0,0.0,0.0,0.003019233436554334,0.0035519621987918698
Paper_Bags,0.00647905023133209,0.003385101341530601,0.004618609924644199,0.002873072631671741,0.0009009491729044132,0.002267747208661035,0.0,0.0
Mixed_Paper,0.06928944713405753,0.1259610008963693,0.0896854064150382,0.10804439790040131,0.02750569262840995,0.07934109063888876,0.09273797728218414,0.1379306754166035
Paper_Non_recyclable,0.06556736093970442,0.08994186004059002,0.049098560233710564,0.0608091015406675,0.021606692499948243,0.04943735048032487,0.06606297323993633,0.07015414590350001
HDPE_Translucent_Containers,0.003862003290604574,0.0013824509038887814,0.0038611493152552303,0.0037127573696123456,0.0008054225429889051,0.002313704517866617,0.0035939606135634078,0.004865146920495053
HDPE_Pigmented_Containers,0.003862003290604574,0.0013824509038887814,0.0038611493152552303,0.0037127573696123456,0.0008054225429889051,0.002313704517866617,0.003762547252152736,0.006120482094986642
PET_Containers,0.017205557365458878,0.014864228689582953,0.013864494677718397,0.007541976337760768,0.004410243602606144,0.007587104991308667,0.01777056431312056,0.026460382894583082
Plastic_Other_1_Polypropylene,0.008711703822645099,0.0038888748777097582,0.0038153750068297796,0.003745445779956672,0.0022918411671976322,0.0032195466274110474,0.0,0.0
Plastic_Other_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_Plastic,0.022413916380774196,0.01858427757917776,0.019736902320756942,0.028743419376774625,0.009933946461069227,0.019946409677889205,0.0,0.0
Plastic_Film,0.02195454288414445,0.031868150255396424,0.029272545226188124,0.028835532278452737,0.014290120793694128,0.023774773634914776,0.046323010466931346,0.048616759476623576
Plastic_Non_Recyclable,0.049762377533071146,0.0573675234116052,0.042098178367021157,0.03408701618740606,0.012744671067983956,0.029456803360060943,0.0446141549939577,0.04962912655282647
Ferrous_Cans,0.011200175935958519,0.0051960022944689795,0.009716547025929109,0.011772315159248634,0.0017702982401676735,0.007047865344160983,0.007364170894742931,0.011564124487597634
Ferrous_Metal_Other,0.009321714236039719,0.015994822550103607,0.014343390549487363,0.0035119005322049868,0.001517653220288006,0.004851293329029753,0.009647753544725652,0.010123670762028945
Aluminum_Cans,0.002987356153021528,0.004254214649741775,0.005169328590710878,0.002164383499716364,0.0008815661851511327,0.002078692664008006,0.0071649321400464525,0.009348486829393586
Aluminum_Foil,0.0,0.0,0.0,0.0,0.0,0.0,0.0003218472191250813,0.00023139818884637588
