,Objective,Time,Ratio
0,15735853.492424551,300,1.0000000000061031
1,15754274.719855363,220,1.001170653217878
2,15735854.330483109,281,1.000000053264006
3,15735853.492392892,199,1.0000000000040912
4,15735853.49242472,293,1.000000000006114
5,15735853.49249137,251,1.0000000000103495
6,15735853.492440252,218,1.0000000000071008
7,15735853.492425628,219,1.0000000000061715
8,15735853.492427535,229,1.0000000000062927
9,15735853.492420848,220,1.0000000000058678
10,15735853.492433777,271,1.0000000000066893
11,15735853.49241875,220,1.0000000000057343
12,15735853.578777669,229,1.0000000054937697
13,15735857.494736271,211,1.000000254349582
14,15735853.492412359,231,1.0000000000053282
15,15735853.49240609,238,1.00000000000493
16,15735862.582504734,231,1.0000005776729064
17,15735853.553019218,232,1.0000000038568422
18,15735853.492391428,221,1.0000000000039981
19,15735853.492567804,230,1.0000000000152067
20,15735853.49242896,241,1.0000000000063833
21,15735853.492399085,217,1.0000000000044849
22,15735853.492425935,231,1.000000000006191
23,15735853.492452042,249,1.0000000000078502
24,15735853.492466556,239,1.0000000000087725
25,15735853.492426641,241,1.000000000006236
26,15735853.492417032,277,1.0000000000056253
27,15735853.705972752,247,1.0000000135769083
28,15735853.49243725,251,1.0000000000069103
29,15735853.492413752,267,1.0000000000054168
30,15735853.492394248,284,1.0000000000041773
31,15735853.492704986,247,1.0000000000239244
32,15735855.001853185,237,1.0000000959289987
33,15735853.49242098,208,1.0000000000058762
34,15735853.4924222,212,1.0000000000059537
35,15735853.49242475,273,1.0000000000061158
36,15735870.811568692,243,1.0000011006228666
37,15735855.094240993,257,1.000000101800165
38,15735853.87098445,205,1.0000000240632603
39,15735853.492428515,246,1.000000000006355
40,15735853.492423551,280,1.0000000000060396
41,15735853.492424535,234,1.000000000006102
42,15735870.161713159,264,1.0000010593251045
43,15735853.492504332,272,1.000000000011173
44,15735853.492425831,243,1.0000000000061844
45,15735853.493082458,255,1.0000000000479126
46,15735854.77393067,197,1.0000000814447185
47,15735867.345984235,205,1.0000008803879452
48,15735853.492328513,193,1.0
49,15735853.492416283,165,1.0000000000055778
