,Objective,Time,Ratio
0,14545862.706399914,200,1.0009802424779186
1,14546977.939807337,200,1.0010569877785662
2,14553903.042022895,170,1.001533541877476
3,14552937.684491877,217,1.0014671103543014
4,14549731.664811209,209,1.0012464866331705
5,14544925.945673443,178,1.0009157788570215
6,14556069.820932003,216,1.001682649766201
7,14541561.891709166,192,1.000684279933868
8,14554828.862302244,250,1.001597252626465
9,14549402.46751455,210,1.001223832769561
10,14540521.196023481,211,1.0006126639808766
11,14538719.662528519,226,1.0004886906235708
12,14553036.368265271,210,1.0014739013236247
13,14548921.104729414,217,1.0011907075677693
14,14548701.457181321,179,1.0011755924205699
15,14544790.449099906,180,1.0009064545978992
16,14545283.511195844,211,1.0009403848931528
17,14544757.581371438,217,1.0009041927900246
18,14532610.093747463,209,1.0000682578336197
19,14560703.575546382,211,1.0020015237244602
20,14541237.681443755,186,1.000661969255111
21,14557139.991035748,204,1.0017562940148483
22,14557829.717818785,247,1.0018037578811356
23,14545066.04555533,179,1.0009254198949287
24,14541756.002908781,205,1.000697637785484
25,14544714.905367399,212,1.0009012560211485
26,14560820.873488497,180,1.0020095956363784
27,14548890.709797041,217,1.001188615926497
28,14547657.659778502,225,1.001103763021485
29,14546805.409447124,202,1.0010451150223547
30,14531618.196970347,209,1.0
31,14533581.861120246,221,1.0001351304530082
32,14573323.67189565,206,1.0028699814679962
33,14542018.94811825,220,1.0007157324811955
34,14541847.322625857,212,1.0007039219938796
35,14562762.692074649,211,1.0021432227768545
36,14560114.259720651,212,1.001960969684453
37,14558223.251802668,263,1.001830839103512
38,14545354.616505204,222,1.0009452780377701
39,14557041.547526501,219,1.001749519579413
40,14566922.675707512,168,1.002429493966785
41,14546947.033524476,212,1.0010548609484746
42,14535793.637177346,175,1.0002873348411996
43,14545862.982780987,191,1.0009802614972096
44,14550848.128696457,210,1.0013233166097164
45,14540485.656699775,169,1.000610218325945
46,14557457.17482376,180,1.0017781211633263
47,14566279.55189887,167,1.002385237105648
48,14560550.42782262,164,1.0019909847933044
49,14562165.978992902,133,1.0021021596912671
