,Objective,Time,Ratio
0,194830415.97305205,270,1.0000000000004325
1,194830416.2125569,201,1.0000000012297314
2,194830418.06095573,250,1.0000000107169504
3,194830415.97301513,276,1.000000000000243
4,194830417.66652957,239,1.0000000086924916
5,194830415.97301278,269,1.000000000000231
6,194830421.73771277,300,1.0000000295885267
7,194830416.8200643,250,1.0000000043478658
8,194830415.97301272,218,1.0000000000002305
9,194830415.9932222,239,1.000000000103959
10,194830415.97301245,259,1.0000000000002292
11,194830415.97301036,250,1.0000000000002185
12,194830416.88293254,259,1.0000000046705477
13,194830416.26314896,259,1.0000000014894037
14,194830416.55556184,251,1.0000000029902623
15,194830416.58591932,298,1.0000000031460772
16,194830415.97301733,251,1.0000000000002542
17,194830415.97301668,201,1.000000000000251
18,194830416.24960238,242,1.0000000014198736
19,194830415.97304153,260,1.0000000000003784
20,194830415.9730271,298,1.0000000000003044
21,194830416.4802233,257,1.0000000026035745
22,194830415.97299784,288,1.000000000000154
23,194830415.97305092,247,1.0000000000004265
24,194830416.74816296,256,1.00000000397882
25,194830415.9729678,266,1.0
26,194830415.97308034,238,1.0000000000005775
27,194830415.9729947,239,1.000000000000138
28,194830417.0191664,217,1.000000005369791
29,194830415.97302452,260,1.000000000000291
30,194830417.5300578,258,1.0000000079920273
31,194830415.9730115,278,1.0000000000002243
32,194830415.97299314,297,1.0000000000001301
33,194830415.97302046,286,1.0000000000002702
34,194830415.9729823,257,1.0000000000000744
35,194830415.9730331,237,1.000000000000335
36,194830424.23472118,268,1.0000000424048439
37,194830426.3851245,271,1.000000053442152
38,194830415.97300375,240,1.0000000000001845
39,194830415.9730311,219,1.0000000000003249
40,194830415.97305542,261,1.0000000000004496
41,194830415.97301248,269,1.0000000000002294
42,194830415.97301263,250,1.00000000000023
43,194830418.32878265,240,1.0000000120916175
44,194830415.97298717,271,1.0000000000000995
45,194830425.4322641,252,1.000000048551435
46,194830415.9729911,200,1.0000000000001197
47,194830416.01135555,229,1.0000000001970315
48,194830417.9094496,148,1.0000000099393198
49,194830415.97301838,277,1.0000000000002596
