,Objective,Time,Ratio
0,193427063.03698626,136,1.000000000000104
1,193427063.03697386,111,1.00000000000004
2,193427063.03699747,145,1.0000000000001619
3,193427063.0369813,106,1.0000000000000784
4,193427063.03698346,92,1.0000000000000895
5,193427063.03697816,125,1.0000000000000622
6,193427063.03698254,134,1.0000000000000848
7,193427063.03698322,120,1.0000000000000884
8,193427063.03698063,134,1.0000000000000748
9,193427063.03699532,120,1.0000000000001508
10,193427063.036976,109,1.000000000000051
11,193427063.03698224,140,1.0000000000000833
12,193427063.03698197,111,1.0000000000000817
13,193427063.03697658,120,1.000000000000054
14,193427063.0369863,104,1.0000000000001041
15,193427063.03698796,125,1.0000000000001128
16,193427063.036992,91,1.0000000000001337
17,193427063.03700262,129,1.0000000000001885
18,193427063.0369887,125,1.0000000000001166
19,193427063.03697124,135,1.0000000000000264
20,193427063.03699452,125,1.0000000000001468
21,193427063.03698394,115,1.000000000000092
22,193427063.03699094,125,1.0000000000001281
23,193427063.03698248,109,1.0000000000000844
24,193427063.03700605,130,1.0000000000002063
25,193427063.03698695,120,1.0000000000001075
26,193427063.03699732,124,1.0000000000001612
27,193427063.03697342,145,1.0000000000000375
28,193427063.03698862,94,1.0000000000001161
29,193427063.0369804,119,1.0000000000000737
30,193427063.03699046,139,1.0000000000001257
31,193427063.0369913,123,1.0000000000001301
32,193427063.0369868,119,1.0000000000001068
33,193427063.03698963,133,1.0000000000001215
34,193427063.03698897,130,1.0000000000001181
35,193427063.03696615,104,1.0
36,193427063.03697658,130,1.000000000000054
37,193427063.03699827,90,1.000000000000166
38,193427063.03697863,129,1.0000000000000646
39,193427063.036979,118,1.0000000000000664
40,193427063.03698707,130,1.0000000000001081
41,193427063.03697324,129,1.0000000000000366
42,193427063.03698748,96,1.0000000000001104
43,193427063.03698498,109,1.0000000000000975
44,193427063.03699172,131,1.0000000000001321
45,193427063.0369782,118,1.0000000000000622
46,193427063.03698903,126,1.0000000000001183
47,193427063.03699085,110,1.0000000000001277
48,193427063.0369987,86,1.0000000000001683
49,193427063.03699318,82,1.0000000000001397
