,Objective,Time,Ratio
0,118387859.2782978,75,1.0000000000070104
1,118387859.27849302,60,1.0000000000086593
2,118387859.27850217,70,1.0000000000087366
3,118387859.27746786,67,1.0
4,118387859.27866518,72,1.0000000000101135
5,118387859.27857539,75,1.0000000000093552
6,118387859.27845979,59,1.0000000000083786
7,118387859.2783563,65,1.0000000000075044
8,118387859.27847755,73,1.0000000000085287
9,118387859.27799013,67,1.0000000000044116
10,118387859.278317,72,1.0000000000071725
11,118387859.27850239,78,1.0000000000087386
12,118387859.2778892,72,1.000000000003559
13,118387859.27817386,69,1.0000000000059635
14,118387859.27841757,69,1.000000000008022
15,118387859.27832825,69,1.0000000000072675
16,118387859.27827731,67,1.0000000000068372
17,118387859.27776667,68,1.000000000002524
18,118387859.27859288,67,1.0000000000095028
19,118387859.27889085,72,1.0000000000120197
20,118387859.27849302,77,1.0000000000086593
21,118387859.27799226,58,1.0000000000044296
22,118387859.27838671,69,1.0000000000077613
23,118387859.27845368,77,1.000000000008327
24,118387859.27833682,73,1.00000000000734
25,118387859.27866536,75,1.000000000010115
26,118387859.27841869,68,1.0000000000080316
27,118387859.27808857,67,1.000000000005243
28,118387859.27806696,63,1.0000000000050604
29,118387859.27797113,72,1.000000000004251
30,118387859.27825351,76,1.0000000000066362
31,118387859.27860972,65,1.0000000000096452
32,118387859.27840969,70,1.0000000000079554
33,118387859.2784872,70,1.0000000000086102
34,118387859.27795385,75,1.000000000004105
35,118387859.27821831,59,1.000000000006339
36,118387859.27811502,62,1.0000000000054665
37,118387859.2783637,70,1.000000000007567
38,118387859.27840342,75,1.0000000000079023
39,118387859.2785663,73,1.0000000000092784
40,118387859.27817452,69,1.000000000005969
41,118387859.27829462,68,1.0000000000069835
42,118387859.27843863,70,1.0000000000081999
43,118387859.27842325,55,1.00000000000807
44,118387859.27837299,69,1.0000000000076454
45,118387859.27841306,66,1.0000000000079838
46,118387859.27825105,62,1.0000000000066154
47,118387859.27831009,63,1.000000000007114
48,118387859.27829304,47,1.0000000000069702
49,118387859.27796268,45,1.0000000000041798
