,Value,Unit
Diversion,87.26991580016802,%
GWP,181.3215416085249,kg CO2/Mg
Operation Cost,19.175248780979995,$/Mg
Capital cost,31.20854449075426,$/Mg
Total cost,50.38379327173426,$/Mg
CED,-8906.33325579911,MJ eq/Mg
Acidification,-5.5255668248691245,kg SO2 eq/Mg
Eutrophication,-1.4238682292251816,kg N eq/Mg
Photochemical smog,-24.409756867965434,kg O3 eq/Mg
Ecotoxicity,-0.0001941930543665326,CTU/Mg
Human toxicity,-0.00023059163236876883,CTU/Mg
SF,306600,Mg/yr
MF,102200,Mg/yr
COM,52595,Mg/yr
LF,58736,Mg/yr
WTE,362480,Mg/yr
RDF,0,Mg/yr
GC,0,Mg/yr
Composting,0,Mg/yr
AD,0,Mg/yr
AnF,0,Mg/yr
SS_MRF,115005,Mg/yr
Reprocessing,103874,Mg/yr
