,Objective,Time,Ratio
0,84022223.92309837,120,1.004318999369988
1,84083229.2439624,131,1.0050481969554088
2,83857384.09072386,120,1.0023486661917302
3,84120878.76891375,120,1.0054982223351285
4,83660892.5813247,152,1.0000000000068756
5,84077737.6432726,114,1.0049825557636833
6,83660892.58120134,152,1.000000000005401
7,84209829.59863932,125,1.0065614530392442
8,84314759.44424419,137,1.0078156811781993
9,83897958.93825017,158,1.0028336579994275
10,83660892.58099893,163,1.0000000000029816
11,83710597.3499417,121,1.0005941219088028
12,83973795.23782063,136,1.0037401305128215
13,84085117.70257975,120,1.0050707697317574
14,83893232.71964386,136,1.0027771654321058
15,83660892.58136484,153,1.0000000000073554
16,83899927.74495408,127,1.0028571911777522
17,83849875.09573075,116,1.00225891105332
18,83846836.63269292,174,1.0022225922555628
19,84357027.62254375,131,1.0083209133959736
20,84385936.78727075,121,1.0086664651087898
21,83853623.51534437,110,1.0023037159734922
22,83925193.10400006,126,1.0031591884224218
23,84208841.22390217,137,1.0065496389800503
24,83706475.78698912,156,1.0005448568002744
25,84357627.51716466,143,1.0083280839460647
26,83660892.58099255,165,1.0000000000029055
27,83943636.48736757,117,1.0033796424816432
28,83660892.58074948,149,1.0
29,83951594.09851827,107,1.0034747599362295
30,84065615.77976146,134,1.0048376629333873
31,83935895.95576699,112,1.003287119782425
32,83682824.08767888,130,1.000262147656484
33,84008229.92789005,125,1.0041517289192834
34,83816205.1240378,142,1.0018564533379608
35,84008937.41357332,126,1.0041601855070803
36,84247989.4588263,105,1.0070175784642765
37,83660892.58107707,173,1.0000000000039158
38,83960826.58573583,158,1.00358511600503
39,84116689.41818851,116,1.0054481469582588
40,83788018.47504473,134,1.0015195378673798
41,84266705.33103809,107,1.0072412895870537
42,83660892.5810022,163,1.000000000003021
43,83862387.34781143,115,1.0024084702044922
44,83924720.02714205,137,1.0031535337270987
45,83739623.28144148,143,1.0009410693367395
46,83745642.27904709,118,1.001013014512316
47,83808880.50611013,113,1.0017689020615912
48,83806966.48449248,100,1.0017460237302873
49,83841437.77155887,86,1.002158059581245
