,Objective,Time,Ratio
0,59364704.68078847,220,1.0051010381893644
1,59465787.28342846,220,1.0068124630065622
2,59322475.646359354,219,1.0043860603826915
3,59141967.48694276,249,1.0013298851788084
4,59506722.50277561,233,1.0075055352906
5,59416075.95835187,225,1.0059708028869185
6,59347566.78374086,196,1.0048108772560698
7,59371181.96422314,234,1.005210704772224
8,59254787.0899445,258,1.0032400286001377
9,59197979.548593916,213,1.0022782227746818
10,59246885.97224093,204,1.0031062551458703
11,59236651.6095366,160,1.0029329776296316
12,59243193.61373244,258,1.0030437399966716
13,59342272.316859834,244,1.0047212368849536
14,59170394.67242336,212,1.0018111845265099
15,59435605.49746373,250,1.006301456600135
16,59149731.35144058,218,1.0014613348054693
17,59421416.607877076,245,1.006061225174223
18,59283794.7560783,236,1.0037311560386268
19,59270933.43649404,210,1.003513401638329
20,59267324.60112555,180,1.003452300615507
21,59233578.15979002,235,1.0028809411957316
22,59275256.20585084,202,1.003586590244113
23,59298718.53475675,233,1.0039838298373776
24,59464214.80463689,208,1.0067858394416942
25,59368606.17595263,256,1.0051670942214976
26,59242413.9456203,232,1.0030305394723338
27,59212741.356666364,270,1.0025281542566784
28,59410207.637027964,243,1.005871446613072
29,59207208.90660239,250,1.0024344846034234
30,59202128.044848286,264,1.00234846077072
31,59275520.47643033,220,1.003591064596933
32,59319898.48414333,241,1.0043424265697578
33,59130118.65532862,235,1.001129273164974
34,59214798.080594584,221,1.0025629765533046
35,59290380.796620436,220,1.003842663982986
36,59441529.890967324,197,1.006401762229433
37,59345945.77097749,235,1.0047834319647952
38,59063419.92018117,244,1.0
39,59348456.32851532,200,1.004825938097038
40,59309478.68821015,238,1.0041660094921951
41,59155547.50944874,252,1.0015598079046568
42,59445293.60427277,215,1.0064654854833612
43,59398243.00442104,200,1.0056688739780453
44,59440446.59188663,216,1.0063834209433686
45,59256499.33521531,208,1.0032690185447282
46,59214233.91852687,196,1.0025534247517247
47,59451834.983230636,219,1.0065762372645264
48,59428889.47971627,151,1.0061877480177916
49,59312131.735866636,141,1.0042109281179719
