,Objective,Time,Ratio
0,,207.0,-0.0
1,,232.0,-0.0
2,,79.0,-0.0
3,,,-0.0
4,,,-0.0
5,,,-0.0
6,,,-0.0
7,,343.0,-0.0
8,,,-0.0
9,,,-0.0
10,,,-0.0
11,,,-0.0
12,,181.0,-0.0
13,,34.0,-0.0
14,,56.0,-0.0
15,,214.0,-0.0
16,,,-0.0
17,,200.0,-0.0
18,,,-0.0
19,,160.0,-0.0
20,,,-0.0
21,,34.0,-0.0
22,,,-0.0
23,,,-0.0
24,,,-0.0
25,,,-0.0
26,,,-0.0
27,,134.0,-0.0
28,,,-0.0
29,,,-0.0
30,,,-0.0
31,,,-0.0
32,,484.0,-0.0
33,,33.0,-0.0
34,,,-0.0
35,,,-0.0
36,,338.0,-0.0
37,,193.0,-0.0
38,,,-0.0
39,,,-0.0
40,,,-0.0
41,,52.0,-0.0
42,,,-0.0
43,,,-0.0
44,,,-0.0
45,,,-0.0
46,,248.0,-0.0
47,,,-0.0
48,,653.0,-0.0
49,,,-0.0
50,,49.0,-0.0
51,,,-0.0
52,,,-0.0
53,,33.0,-0.0
54,,,-0.0
55,,113.0,-0.0
56,-104378811.55486639,299.0,0.9999999999991352
57,,176.0,-0.0
58,,88.0,-0.0
59,,252.0,-0.0
60,,90.0,-0.0
61,-104378805.64104144,296.0,0.9999999433418036
62,,33.0,-0.0
63,,189.0,-0.0
64,,,-0.0
65,,163.0,-0.0
66,,,-0.0
67,,213.0,-0.0
68,,,-0.0
69,,206.0,-0.0
70,,,-0.0
71,,,-0.0
72,,,-0.0
73,,51.0,-0.0
74,,132.0,-0.0
75,,33.0,-0.0
76,,33.0,-0.0
77,,,-0.0
78,,251.0,-0.0
79,,72.0,-0.0
80,,,-0.0
81,,,-0.0
82,,87.0,-0.0
83,,,-0.0
84,,72.0,-0.0
85,,288.0,-0.0
86,,,-0.0
87,,129.0,-0.0
88,-104378811.55495664,281.0,1.0
89,,217.0,-0.0
90,,,-0.0
91,,,-0.0
92,,32.0,-0.0
93,,,-0.0
94,,168.0,-0.0
95,,,-0.0
96,,50.0,-0.0
97,,33.0,-0.0
98,,,-0.0
99,,168.0,-0.0
