,Value,Unit
Diversion,87.1756365399711,%
GWP,148.2355550729967,kg CO2/Mg
Operation Cost,26.451714560270982,$/Mg
Capital cost,33.5482571772023,$/Mg
Total cost,59.99997173747329,$/Mg
CED,-8754.384255138011,MJ eq/Mg
Acidification,-5.364583844616637,kg SO2 eq/Mg
Eutrophication,-1.423701666427317,kg N eq/Mg
Photochemical smog,-20.877260667992722,kg O3 eq/Mg
Ecotoxicity,-5625.217439856616,CTU/Mg
Human toxicity,-0.00023006675780289836,CTU/Mg
SF,306600,Mg/yr
MF,102200,Mg/yr
COM,52595,Mg/yr
LF,59171,Mg/yr
WTE,244013,Mg/yr
RDF,100712,Mg/yr
GC,81940,Mg/yr
Composting,0,Mg/yr
AD,16266,Mg/yr
AnF,19969,Mg/yr
SS_MRF,115005,Mg/yr
Reprocessing,104473,Mg/yr
