,New RDF Comp
Yard_Trimmings_Leaves,0.02481912870751316
Yard_Trimmings_Grass,0.04233997782932995
Yard_Trimmings_Branches,0.020944045997174577
Food_Waste_Vegetable,0.12488440763280831
Food_Waste_Non_Vegetable,0.06569064216523458
Wood,0.006944884637439862
Wood_Other,0.006944884637438693
Textiles,0.09812573315966824
Rubber_Leather,0.0
Newsprint,0.01043370234752915
Corr_Cardboard,0.021408910748993613
Office_Paper,0.0005883850132499031
Magazines,0.0002833881375701269
Third_Class_Mail,0.0
Folding_Containers,0.0017035254808910724
Paper_Bags,0.0005538943894507559
Mixed_Paper,0.08395469828699395
Paper_Non_recyclable,0.15387848018941244
HDPE_Translucent_Containers,0.0059644493956998714
HDPE_Pigmented_Containers,0.006946628591909793
PET_Containers,0.02712262411326177
Plastic_Other_1_Polypropylene,0.0024069253486435904
Plastic_Other_2,0.0
Mixed_Plastic,0.01847130322238069
Plastic_Film,0.07864825831287399
Plastic_Non_Recyclable,0.10224568991090673
Ferrous_Cans,8.863228025844976e-06
Ferrous_Metal_Other,0.00017813692425238122
Aluminum_Cans,5.669068755457757e-05
Aluminum_Foil,3.978543367355246e-06
Aluminum_Other,9.639735742303821e-05
Ferrous_Non_recyclable,0.0004178926494532356
Al_Non_recyclable,0.00039285547669159484
Glass_Brown,0.0
Glass_Green,0.0
Glass_Clear,0.0
Mixed_Glass,0.0
Glass_Non_recyclable,0.0
Misc_Organic,0.05454011686472115
Misc_Inorganic,0.0
E_waste,0.0
Bottom_Ash,0.0034067559582697127
Fly_Ash,0.0
Diapers_and_sanitary_products,0.035593744053866234
