,New RDF Comp
Yard_Trimmings_Leaves,0.04980868702381382
Yard_Trimmings_Grass,0.1042486399770028
Yard_Trimmings_Branches,0.05947622472035499
Food_Waste_Vegetable,0.15946090187769119
Food_Waste_Non_Vegetable,0.08387827786629937
Wood,0.006685664965919273
Wood_Other,0.006685664965924006
Textiles,0.08522807905576804
Rubber_Leather,0.0
Newsprint,0.006930787700461752
Corr_Cardboard,0.01571517558997697
Office_Paper,0.00017979870100747616
Magazines,8.659775124896957e-05
Third_Class_Mail,0.0
Folding_Containers,0.00144348925810108
Paper_Bags,0.00016925905569483205
Mixed_Paper,0.05400322677672047
Paper_Non_recyclable,0.11433643804480181
HDPE_Translucent_Containers,0.004019836102034627
HDPE_Pigmented_Containers,0.004423038304077583
PET_Containers,0.019152422233785407
Plastic_Other_1_Polypropylene,0.0007355082834584
Plastic_Other_2,0.0
Mixed_Plastic,0.005644461110522702
Plastic_Film,0.06179365515927249
Plastic_Non_Recyclable,0.07670341613093296
Ferrous_Cans,5.3647185761538704e-06
Ferrous_Metal_Other,0.00014723489443826403
Aluminum_Cans,4.316780925281426e-05
Aluminum_Foil,4.311547329031881e-06
Aluminum_Other,5.842479893239689e-05
Ferrous_Non_recyclable,0.00028152062805496036
Al_Non_recyclable,0.0003503898529282423
Glass_Brown,0.0
Glass_Green,0.0
Glass_Clear,0.0
Mixed_Glass,0.0
Glass_Non_recyclable,0.0
Misc_Organic,0.04551287991938321
Misc_Inorganic,0.0
E_waste,0.0
Bottom_Ash,0.0010410365358612826
Fly_Ash,0.0
Diapers_and_sanitary_products,0.031746418640372503
